"occID","scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty"
15,"Alouatta palliata (Gray, 1849)",-83.29942,8.52825,"Costa Rica","Puntarenas",NA,2021,"HUMAN_OBSERVATION","68343864","iNaturalist",NA,4
16,"Alouatta palliata (Gray, 1849)",-85.83688,10.30623,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68350703","iNaturalist",NA,NA
17,"Alouatta palliata (Gray, 1849)",-84.44081,10.08239,"Costa Rica","Alajuela",NA,2021,"HUMAN_OBSERVATION","68249526","iNaturalist",NA,411
18,"Alouatta palliata (Gray, 1849)",-85.17374,10.34846,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68345303","iNaturalist",NA,NA
19,"Alouatta palliata (Gray, 1849)",-85.79882,10.27642,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68276709","iNaturalist",NA,210
20,"Alouatta palliata (Gray, 1849)",-82.85144,9.72224,"Costa Rica","Limón",NA,2021,"HUMAN_OBSERVATION","68379685","iNaturalist",NA,27
21,"Alouatta palliata (Gray, 1849)",-84.47679,10.04275,"Costa Rica","Alajuela",NA,2021,"HUMAN_OBSERVATION","68166327","iNaturalist",NA,30
22,"Alouatta palliata (Gray, 1849)",-85.761,10.26577,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68446770","iNaturalist",NA,NA
23,"Alouatta palliata (Gray, 1849)",-85.17235,10.36424,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68407630","iNaturalist",NA,NA
24,"Alouatta palliata (Gray, 1849)",-83.65756,9.07455,"Costa Rica","Puntarenas",NA,2021,"HUMAN_OBSERVATION","68657238","iNaturalist",NA,207
25,"Alouatta palliata (Gray, 1849)",-85.77934,10.3704,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68446610","iNaturalist",NA,NA
26,"Alouatta palliata (Gray, 1849)",-82.94531,9.85118,"Costa Rica","Limón",NA,2021,"HUMAN_OBSERVATION","68644303","iNaturalist",NA,42
27,"Alouatta palliata (Gray, 1849)",-85.26769,10.41981,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68603895","iNaturalist",NA,NA
